Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Install Store Free,Chrome 109.0.0.0,,,2023-02-20 09:39:10,2023-02-20 09:53:18,14m - 8.063s,FAILED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-20 09:39:11,2023-02-20 09:40:18,1m - 7.291s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-20 09:39:11,2023-02-20 09:39:11,0.020s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-20 09:39:11,2023-02-20 09:39:13,1.955s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-20 09:39:13,2023-02-20 09:39:13,0.124s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-20 09:39:13,2023-02-20 09:39:43,30.069s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-20 09:39:43,2023-02-20 09:40:00,17.263s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-20 09:40:00,2023-02-20 09:40:05,4.714s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-20 09:40:05,2023-02-20 09:40:17,12.335s,FAILED
Start tear down : teardownIfFailed,Chrome 109.0.0.0,,,2023-02-20 09:40:17,2023-02-20 09:40:18,0.572s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-20 09:40:18,2023-02-20 09:41:57,1m - 38.739s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-20 09:40:18,2023-02-20 09:40:18,0.001s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-20 09:40:18,2023-02-20 09:40:20,1.706s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-20 09:40:20,2023-02-20 09:40:20,0.133s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-20 09:40:20,2023-02-20 09:40:41,21.623s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-20 09:40:41,2023-02-20 09:41:40,58.378s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-20 09:41:40,2023-02-20 09:41:44,3.821s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-20 09:41:44,2023-02-20 09:41:57,13.002s,FAILED
Start tear down : teardownIfFailed,Chrome 109.0.0.0,,,2023-02-20 09:41:57,2023-02-20 09:41:57,0.049s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-20 09:41:57,2023-02-20 09:43:59,2m - 2.252s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-20 09:41:57,2023-02-20 09:41:57,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-20 09:41:57,2023-02-20 09:41:58,1.701s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-20 09:41:58,2023-02-20 09:41:59,0.138s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-20 09:41:59,2023-02-20 09:42:27,28.502s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-20 09:42:27,2023-02-20 09:43:37,1m - 10.439s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-20 09:43:37,2023-02-20 09:43:45,7.800s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-20 09:43:45,2023-02-20 09:43:58,13.211s,PASSED
alireview.install.onboardingSelectStyle(layout_type),Chrome 109.0.0.0,,,2023-02-20 09:43:58,2023-02-20 09:43:59,0.176s,PASSED
alireview.install.onboardingNext(),Chrome 109.0.0.0,,,2023-02-20 09:43:59,2023-02-20 09:43:59,0.106s,PASSED
alireview.install.clickGetStartOnboarding(),Chrome 109.0.0.0,,,2023-02-20 09:43:59,2023-02-20 09:43:59,0.120s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-20 09:43:59,2023-02-20 09:43:59,0.049s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-20 09:43:59,2023-02-20 09:45:38,1m - 38.981s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-20 09:43:59,2023-02-20 09:43:59,0.001s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-20 09:43:59,2023-02-20 09:44:01,1.693s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-20 09:44:01,2023-02-20 09:44:01,0.126s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-20 09:44:01,2023-02-20 09:44:27,26.004s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-20 09:44:27,2023-02-20 09:45:14,47.153s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-20 09:45:14,2023-02-20 09:45:17,3.531s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-20 09:45:17,2023-02-20 09:45:38,20.106s,PASSED
alireview.install.onboardingSelectStyle(layout_type),Chrome 109.0.0.0,,,2023-02-20 09:45:38,2023-02-20 09:45:38,0.103s,PASSED
alireview.install.onboardingNext(),Chrome 109.0.0.0,,,2023-02-20 09:45:38,2023-02-20 09:45:38,0.105s,PASSED
alireview.install.clickGetStartOnboarding(),Chrome 109.0.0.0,,,2023-02-20 09:45:38,2023-02-20 09:45:38,0.097s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-20 09:45:38,2023-02-20 09:45:38,0.039s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-20 09:45:38,2023-02-20 09:47:13,1m - 35.508s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-20 09:45:38,2023-02-20 09:45:38,0.001s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-20 09:45:38,2023-02-20 09:45:40,1.679s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-20 09:45:40,2023-02-20 09:45:40,0.141s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-20 09:45:40,2023-02-20 09:46:07,27.242s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-20 09:46:07,2023-02-20 09:46:57,49.685s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-20 09:46:57,2023-02-20 09:47:00,3.671s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-20 09:47:00,2023-02-20 09:47:13,13.029s,FAILED
Start tear down : teardownIfFailed,Chrome 109.0.0.0,,,2023-02-20 09:47:13,2023-02-20 09:47:13,0.039s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-20 09:47:13,2023-02-20 09:48:37,1m - 23.504s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-20 09:47:13,2023-02-20 09:47:13,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-20 09:47:13,2023-02-20 09:47:15,1.741s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-20 09:47:15,2023-02-20 09:47:15,0.125s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-20 09:47:15,2023-02-20 09:47:43,27.401s,PASSED
