Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Store,Chrome 110.0.0.0,,,2023-03-07 11:19:01,2023-03-07 13:41:53,2h - 22m - 52.420s,FAILED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 110.0.0.0,,,2023-03-07 11:19:01,2023-03-07 11:19:01,0.034s,SKIPPED
Start listener action : skipStatus,Chrome 110.0.0.0,,,2023-03-07 11:19:01,2023-03-07 11:19:01,0.011s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 110.0.0.0,,,2023-03-07 11:19:01,2023-03-07 11:19:01,0.010s,SKIPPED
Start listener action : skipStatus,Chrome 110.0.0.0,,,2023-03-07 11:19:01,2023-03-07 11:19:01,0.000s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 110.0.0.0,,,2023-03-07 11:19:01,2023-03-07 11:24:04,5m - 2.946s,PASSED
Start listener action : skipStatus,Chrome 110.0.0.0,,,2023-03-07 11:19:01,2023-03-07 11:19:01,0.000s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 110.0.0.0,,,2023-03-07 11:19:01,2023-03-07 11:19:01,0.000s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-07 11:19:01,2023-03-07 11:19:03,1.676s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-03-07 11:19:03,2023-03-07 11:19:03,0.152s,PASSED
"shopify.store.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 110.0.0.0,,,2023-03-07 11:19:03,2023-03-07 11:19:19,15.785s,PASSED
shopify.store.navigateToStoreDevelop(partner_id),Chrome 110.0.0.0,,,2023-03-07 11:19:19,2023-03-07 11:19:20,0.735s,PASSED
shopify.store.inputStoreName(store_name),Chrome 110.0.0.0,,,2023-03-07 11:19:20,2023-03-07 11:19:26,6.605s,PASSED
shopify.store.clickCreateStore(),Chrome 110.0.0.0,,,2023-03-07 11:19:26,2023-03-07 11:19:27,0.430s,PASSED
shopify.store.importProduct(product_file_local),Chrome 110.0.0.0,,,2023-03-07 11:19:27,2023-03-07 11:20:48,1m - 21.200s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 110.0.0.0,,,2023-03-07 11:20:48,2023-03-07 11:20:58,10.422s,PASSED
