Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Store,,,,2023-02-10 16:08:09,2023-02-10 16:08:21,12.065s,SKIPPED
,,,,,,,
Test Cases/Shopify/CreateStore,,,,2023-02-10 16:08:09,2023-02-10 16:08:09,0.042s,SKIPPED
Start listener action : skipStatus,,,,2023-02-10 16:08:09,2023-02-10 16:08:09,0.013s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.014s,SKIPPED
Start listener action : skipStatus,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.000s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.015s,SKIPPED
Start listener action : skipStatus,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.000s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.031s,SKIPPED
Start listener action : skipStatus,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.000s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.017s,SKIPPED
Start listener action : skipStatus,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.000s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.016s,SKIPPED
Start listener action : skipStatus,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.000s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.016s,SKIPPED
Start listener action : skipStatus,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.000s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.016s,SKIPPED
Start listener action : skipStatus,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.000s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,,,,2023-02-10 16:08:10,2023-02-10 16:08:10,0.016s,SKIPPED
