Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Install Store Free,Chrome 109.0.0.0,,,2023-02-20 14:03:24,2023-02-20 14:28:17,24m - 52.290s,FAILED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-20 14:03:25,2023-02-20 14:04:32,1m - 7.687s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-20 14:03:25,2023-02-20 14:03:25,0.023s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-20 14:03:25,2023-02-20 14:03:27,1.907s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-20 14:03:27,2023-02-20 14:03:27,0.143s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-20 14:03:27,2023-02-20 14:03:51,24.141s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-20 14:03:51,2023-02-20 14:04:10,19.376s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-20 14:04:10,2023-02-20 14:04:13,2.727s,PASSED
shopify.store.clickOnShopifyUserCard(),Chrome 109.0.0.0,,,2023-02-20 14:04:13,2023-02-20 14:04:23,10.319s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-20 14:04:23,2023-02-20 14:04:29,5.936s,PASSED
alireview.install.onboardingSelectStyle(layout_type),Chrome 109.0.0.0,,,2023-02-20 14:04:29,2023-02-20 14:04:32,2.209s,PASSED
alireview.install.onboardingNext(),Chrome 109.0.0.0,,,2023-02-20 14:04:32,2023-02-20 14:04:32,0.104s,PASSED
alireview.install.clickGetStartOnboarding(),Chrome 109.0.0.0,,,2023-02-20 14:04:32,2023-02-20 14:04:32,0.098s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-20 14:04:32,2023-02-20 14:04:32,0.469s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-20 14:04:32,2023-02-20 14:05:42,1m - 9.553s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-20 14:04:32,2023-02-20 14:04:32,0.001s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-20 14:04:32,2023-02-20 14:04:34,1.705s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-20 14:04:34,2023-02-20 14:04:34,0.139s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-20 14:04:34,2023-02-20 14:04:55,20.746s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-20 14:04:55,2023-02-20 14:05:19,24.339s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-20 14:05:19,2023-02-20 14:05:24,4.614s,PASSED
shopify.store.clickOnShopifyUserCard(),Chrome 109.0.0.0,,,2023-02-20 14:05:24,2023-02-20 14:05:33,9.589s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-20 14:05:33,2023-02-20 14:05:42,8.060s,PASSED
alireview.install.onboardingSelectStyle(layout_type),Chrome 109.0.0.0,,,2023-02-20 14:05:42,2023-02-20 14:05:42,0.106s,PASSED
alireview.install.onboardingNext(),Chrome 109.0.0.0,,,2023-02-20 14:05:42,2023-02-20 14:05:42,0.106s,PASSED
