Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:05:56,2023-02-13 09:06:20,23.901s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:06:20,2023-02-13 09:06:21,1.161s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:06:21,2023-02-13 09:06:28,6.932s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:06:28,2023-02-13 09:06:48,20.477s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:06:48,2023-02-13 09:08:12,1m - 23.525s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 09:08:12,2023-02-13 09:08:22,10.374s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:08:22,2023-02-13 09:08:23,0.555s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:08:23,2023-02-13 09:08:34,10.983s,PASSED
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:08:34,2023-02-13 09:09:36,1m - 2.282s,PASSED
shopify.store.confirmPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:09:36,2023-02-13 09:09:47,10.478s,PASSED
"shopify.store_setting.changeStoreCurrency(currency, store_name)",Chrome 109.0.0.0,,,2023-02-13 09:09:47,2023-02-13 09:10:05,18.214s,PASSED
shopify.store_setting.saveStoreSetting(),Chrome 109.0.0.0,,,2023-02-13 09:10:05,2023-02-13 09:10:05,0.591s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-13 09:10:05,2023-02-13 09:10:05,0.049s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 09:10:06,2023-02-13 09:14:16,4m - 10.141s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 09:10:06,2023-02-13 09:10:06,0.000s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 09:10:06,2023-02-13 09:10:06,0.000s,PASSED
