Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Install Store Free,Chrome 109.0.0.0,,,2023-02-16 17:22:51,2023-02-16 17:31:17,8m - 25.763s,FAILED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-16 17:22:52,2023-02-16 17:23:44,52.901s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-16 17:22:52,2023-02-16 17:22:52,0.019s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-16 17:22:52,2023-02-16 17:22:54,1.675s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-16 17:22:54,2023-02-16 17:22:54,0.126s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-16 17:22:54,2023-02-16 17:23:12,18.845s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-16 17:23:12,2023-02-16 17:23:32,19.816s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-16 17:23:32,2023-02-16 17:23:37,4.407s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-16 17:23:37,2023-02-16 17:23:44,7.326s,FAILED
Start tear down : teardownIfFailed,Chrome 109.0.0.0,,,2023-02-16 17:23:44,2023-02-16 17:23:44,0.446s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-16 17:23:44,2023-02-16 17:24:36,51.484s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-16 17:23:45,2023-02-16 17:23:45,0.001s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-16 17:23:45,2023-02-16 17:23:46,1.602s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-16 17:23:46,2023-02-16 17:23:46,0.115s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-16 17:23:46,2023-02-16 17:24:03,17.062s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-16 17:24:03,2023-02-16 17:24:23,19.321s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-16 17:24:23,2023-02-16 17:24:26,3.379s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-16 17:24:26,2023-02-16 17:24:36,9.938s,FAILED
Start tear down : teardownIfFailed,Chrome 109.0.0.0,,,2023-02-16 17:24:36,2023-02-16 17:24:36,0.047s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-16 17:24:36,2023-02-16 17:25:38,1m - 2.310s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-16 17:24:36,2023-02-16 17:24:36,0.001s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-16 17:24:36,2023-02-16 17:24:38,1.575s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-16 17:24:38,2023-02-16 17:24:38,0.114s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-16 17:24:38,2023-02-16 17:24:56,17.979s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-16 17:24:56,2023-02-16 17:25:19,23.657s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-16 17:25:19,2023-02-16 17:25:28,8.213s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-16 17:25:28,2023-02-16 17:25:38,10.713s,FAILED
Start tear down : teardownIfFailed,Chrome 109.0.0.0,,,2023-02-16 17:25:38,2023-02-16 17:25:38,0.039s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-16 17:25:38,2023-02-16 17:26:43,1m - 4.871s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-16 17:25:38,2023-02-16 17:25:38,0.001s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-16 17:25:38,2023-02-16 17:25:40,1.543s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-16 17:25:40,2023-02-16 17:25:40,0.111s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-16 17:25:40,2023-02-16 17:25:58,18.229s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-16 17:25:58,2023-02-16 17:26:20,21.701s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-16 17:26:20,2023-02-16 17:26:33,13.138s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-16 17:26:33,2023-02-16 17:26:43,10.089s,FAILED
Start tear down : teardownIfFailed,Chrome 109.0.0.0,,,2023-02-16 17:26:43,2023-02-16 17:26:43,0.036s,PASSED
,,,,,,,
Test Cases/Alireview/Install new store free,Chrome 109.0.0.0,,,2023-02-16 17:26:43,2023-02-16 17:27:39,55.624s,FAILED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-16 17:26:43,2023-02-16 17:26:43,0.001s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-16 17:26:43,2023-02-16 17:26:45,1.600s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-16 17:26:45,2023-02-16 17:26:45,0.117s,PASSED
"shopify.store.loginToStoreAdmin(partner_email, partner_password, store_name)",Chrome 109.0.0.0,,,2023-02-16 17:26:45,2023-02-16 17:27:04,19.443s,PASSED
"alireview.install.inputRawDomain(store_name, host)",Chrome 109.0.0.0,,,2023-02-16 17:27:04,2023-02-16 17:27:23,18.833s,PASSED
alireview.install.installStep1(),Chrome 109.0.0.0,,,2023-02-16 17:27:23,2023-02-16 17:27:29,5.377s,PASSED
alireview.install.onboardingSelectColor(color),Chrome 109.0.0.0,,,2023-02-16 17:27:29,2023-02-16 17:27:39,10.201s,FAILED
